nome_entidade;cnpj_entidade;sigla
UNIVERSIDADE FEDERAL DE RORAIMA;34.792.077/0001-63;UFRR
UNIVERSIDADE FEDERAL DE SANTA CATARINA;83.899.526/0001-82;UFSC
UNIVERSIDADE FEDERAL DE SANTA MARIA;95.591.764/0001-05;UFSM
UNIVERSIDADE FEDERAL DE SÃO CARLOS;45.358.058/0001-40;UFSCAR
UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI;21.186.804/0001-05;UFSJ
UNIVERSIDADE FEDERAL DE SÃO PAULO;60.453.032/0001-74;UNIFESP
UNIVERSIDADE FEDERAL DE SERGIPE;13.031.547/0001-04;UFS
UNIVERSIDADE FEDERAL DE UBERLÂNDIA;25.648.387/0001-18;UFU
UNIVERSIDADE FEDERAL DE VIÇOSA;25.944.455/0001-96;UFV
UNIVERSIDADE FEDERAL DO ABC;07.722.779/0001-06;UFABC
UNIVERSIDADE FEDERAL DO ACRE;04.071.106/0001-37;UFAC
UNIVERSIDADE FEDERAL DO AMAPÁ;34.868.257/0001-81;UNIFAP
UNIVERSIDADE FEDERAL DO AMAZONAS;04.378.626/0001-97;UFAM
UNIVERSIDADE FEDERAL DO CARIRI;18.621.825/0001-99;UFCA
UNIVERSIDADE FEDERAL DO CEARÁ;07.272.636/0001-31;UFCE
UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO;32.479.123/0001-43;UFES
UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;34.023.077/0001-07;UNIRIO
UNIVERSIDADE FEDERAL DO MARANHÃO;06.279.103/0001-19;UFMA
UNIVERSIDADE FEDERAL DO OESTE DA BAHIA;18.641.263/0001-45;UFOB
UNIVERSIDADE FEDERAL DO OESTE DO PARÁ;11.118.393/0001-59;UFOPA
UNIVERSIDADE FEDERAL DO PAMPA;09.341.233/0001-22;UNIPAMPA
UNIVERSIDADE FEDERAL DO PARÁ;34.621.748/0001-23;UFPA
UNIVERSIDADE FEDERAL DO PARANÁ;75.095.679/0001-49;UFPR
UNIVERSIDADE FEDERAL DO PIAUÍ;06.517.387/0001-34;UFPI
UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA;07.777.800/0001-62;UFRB
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;33.663.683/0001-16;UFRJ
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;24.365.710/0001-83;UFRN
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;92.969.856/0001-98;UFRGS
UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ;18.657.063/0001-80;UNIFESSPA
UNIVERSIDADE FEDERAL DO TOCANTINS;05.149.726/0001-04;UFT
UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO;25.437.484/0001-61;UFTM
UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO;05.440.725/0001-14;UNIVASF
UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI;16.888.315/0001-57;UFVJM
UNIVERSIDADE FEDERAL FLUMINENSE;28.523.215/0001-06;UFF
UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA;05.200.001/0001-01;UFRA
UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;24.416.174/0001-06;UFRPE
UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO;29.427.465/0001-05;UFRRJ
UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;24.529.265/0001-40;UFERSA
UNIVERSIDADE METODISTA DE PIRACICABA;54.409.461/0001-41;UNIMEP
UNIVERSIDADE PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAI;85.784.023/0001-97;UNIDAVI
UNIVERSIDADE PRESBITERIANA MACKENZIE;60.967.551/0001-50;UPM
UNIVERSIDADE REGIONAL DE BLUMENAU;82.662.958/0001-02;FURB
UNIVERSIDADE REGIONAL DO CARIRI;06.740.864/0001-26;URCA
UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL;90.738.014/0001-08;UNIJUÍ
UNIVERSIDADE SÃO FRANCISCO;33.495.870/0001-38;USF
UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ;75.101.873/0001-90;UTFPR
URI CAMPUS DE ERECHIM;96.216.841/0001-00;URI
